0,0,1,-74.3634
0,0,2,-74.0763
0,0,3,-73.5831
0,0,4,-76.8169
0,0,5,-72.834
0,0,6,-73.5384
0,0,7,-68.2913
0,0,8,-67.7932
0,0,9,-72.1449
0,0,10,-72.0639
0,0,11,-75.545
0,0,12,-75.8174
0,0,13,-73.7328
0,0,14,-73.6418
0,0,15,-75.9369
0,0,16,-71.2359
0,0,17,-73.7976
0,0,18,-68.9191
0,0,19,-73.1189
0,0,20,-73.637
0,1,1,-74.2084
0,1,2,-73.961
0,1,3,-73.4136
0,1,4,-76.7106
0,1,5,-72.6308
0,1,6,-73.3417
0,1,7,-67.6763
0,1,8,-67.2594
0,1,9,-71.8446
0,1,10,-71.697
0,1,11,-75.3885
0,1,12,-75.7063
0,1,13,-73.4581
0,1,14,-73.5384
0,1,15,-75.7335
0,1,16,-71.0249
0,1,17,-73.6133
0,1,18,-68.4123
0,1,19,-72.7773
0,1,20,-73.6004
0,2,1,-74.0585
0,2,2,-73.8539
0,2,3,-73.2503
0,2,4,-76.6077
0,2,5,-72.4334
0,2,6,-73.1489
0,2,7,-67.0146
0,2,8,-66.7096
0,2,9,-71.5413
0,2,10,-71.3165
0,2,11,-75.2344
0,2,12,-75.6
0,2,13,-73.1782
0,2,14,-73.4449
0,2,15,-75.5277
0,2,16,-70.8258
0,2,17,-73.4333
0,2,18,-67.8834
0,2,19,-72.4223
0,2,20,-73.5755
0,3,1,-73.9144
0,3,2,-73.7556
0,3,3,-73.094
0,3,4,-76.5084
0,3,5,-72.243
0,3,6,-72.9612
0,3,7,-66.2985
0,3,8,-66.1473
0,3,9,-71.2359
0,3,10,-70.9217
0,3,11,-75.0832
0,3,12,-75.4987
0,3,13,-72.8931
0,3,14,-73.362
0,3,15,-75.3198
0,3,16,-70.641
0,3,17,-73.2585
0,3,18,-67.3322
0,3,19,-72.0527
0,3,20,-73.5625
0,4,1,-73.7768
0,4,2,-73.6669
0,4,3,-72.9459
0,4,4,-76.413
0,4,5,-72.061
0,4,6,-72.7794
0,4,7,-65.5184
0,4,8,-65.5779
0,4,9,-70.9296
